state_ut,district,rape,arson,cruelty_by_husband_or_his_relatives,robbery,culpable_homicide_not_amounting_to_murder,custodial_rape,theft,riots,year,auto_theft,causing_death_by_negligence,kidnapping_abduction,dacoity,cheating,murder,criminal_breach_of_trust,other_ipc_crimes,dowry_deaths,assault_on_women_with_intent_to_outrage_her_modesty,location,Latitude,Longitude
ANDHRA PRADESH,ADILABAD,50,30,175,41,17,0,199,78,2001,22,181,46,9,104,101,16,1518,16,149,"ANDHRA PRADESH,ADILABAD",15.9128998,79.7399875
ANDHRA PRADESH,ANANTAPUR,23,69,154,16,1,0,366,168,2001,57,270,53,8,65,151,11,754,7,118,"ANDHRA PRADESH,ANANTAPUR",14.6818877,77.6005911
ANDHRA PRADESH,CHITTOOR,27,38,186,14,2,0,723,156,2001,164,404,59,4,209,101,33,1262,14,112,"ANDHRA PRADESH,CHITTOOR",13.217176,79.1003289
ANDHRA PRADESH,CUDDAPAH,20,23,57,4,1,0,173,164,2001,36,233,25,1,37,80,12,1181,17,126,"ANDHRA PRADESH,CUDDAPAH",14.4673154,78.8242089
ANDHRA PRADESH,EAST GODAVARI,23,41,247,25,1,0,1021,70,2001,150,431,49,4,220,82,50,2313,12,109,"ANDHRA PRADESH,EAST GODAVARI",17.32125,82.0407137
ANDHRA PRADESH,GUNTAKAL RLY.,0,0,0,2,0,0,162,1,2001,0,4,0,5,0,3,0,104,0,1,"ANDHRA PRADESH,GUNTAKAL RLY.",15.1710459,77.3699468
ANDHRA PRADESH,GUNTUR,54,43,378,59,2,0,1122,244,2001,171,369,82,16,300,182,67,2426,7,139,"ANDHRA PRADESH,GUNTUR",16.3066525,80.4365402
ANDHRA PRADESH,HYDERABAD CITY,37,0,746,67,7,0,2792,65,2001,1128,409,80,13,1293,111,101,1512,24,118,"ANDHRA PRADESH,HYDERABAD CITY",15.9128998,79.7399875
ANDHRA PRADESH,KARIMNAGAR,56,33,224,50,6,0,392,220,2001,54,322,67,27,243,162,25,1726,62,414,"ANDHRA PRADESH,KARIMNAGAR",18.4385553,79.1288412
ANDHRA PRADESH,KHAMMAM,47,73,172,13,1,0,368,153,2001,34,209,41,1,130,93,35,1450,17,180,"ANDHRA PRADESH,KHAMMAM",15.9128998,79.7399875
ANDHRA PRADESH,KRISHNA,37,62,265,15,0,0,478,70,2001,27,268,36,3,104,65,24,862,10,208,"ANDHRA PRADESH,KRISHNA",16.6099914,80.7214417
ANDHRA PRADESH,KURNOOL,29,5,92,22,4,0,297,84,2001,6,292,47,6,126,133,6,1401,13,141,"ANDHRA PRADESH,KURNOOL",15.8281257,78.0372792
ANDHRA PRADESH,MAHABOOBNAGAR,59,0,69,27,26,0,316,157,2001,33,280,42,8,84,157,22,2158,14,176,"ANDHRA PRADESH,MAHABOOBNAGAR",14.9943501,78.9875016
ANDHRA PRADESH,MEDAK,35,37,192,26,12,0,286,100,2001,36,335,26,27,87,101,17,454,26,100,"ANDHRA PRADESH,MEDAK",15.9128998,79.7399875
ANDHRA PRADESH,NALGONDA,35,72,214,28,1,0,318,220,2001,43,432,27,6,122,122,13,1781,31,188,"ANDHRA PRADESH,NALGONDA",15.9128998,79.7399875
ANDHRA PRADESH,NELLORE,46,65,287,16,5,0,608,97,2001,72,266,90,12,177,89,20,1585,10,207,"ANDHRA PRADESH,NELLORE",14.4425987,79.986456
ANDHRA PRADESH,NIZAMABAD,21,30,228,22,14,0,234,51,2001,48,220,38,7,122,106,61,787,19,55,"ANDHRA PRADESH,NIZAMABAD",15.9128998,79.7399875
ANDHRA PRADESH,PRAKASHAM,19,43,119,14,3,0,278,138,2001,33,263,31,15,88,102,16,808,5,140,"ANDHRA PRADESH,PRAKASHAM",15.348463,79.560344
ANDHRA PRADESH,RANGA REDDY,72,67,421,78,16,0,1296,65,2001,347,593,106,24,527,214,67,2103,37,113,"ANDHRA PRADESH,RANGA REDDY",15.9128998,79.7399875
ANDHRA PRADESH,SECUNDERABAD RLY.,0,0,0,10,0,0,296,1,2001,0,6,0,0,4,6,2,68,1,0,"ANDHRA PRADESH,SECUNDERABAD RLY.",17.502225,78.5415953
ANDHRA PRADESH,SRIKAKULAM,8,34,108,4,4,0,231,70,2001,1,167,12,1,53,38,18,926,6,38,"ANDHRA PRADESH,SRIKAKULAM",18.2949165,83.8938018
ANDHRA PRADESH,VIJAYAWADA,25,17,520,27,5,0,2057,19,2001,264,234,70,3,614,53,34,724,2,84,"ANDHRA PRADESH,VIJAYAWADA",16.5061743,80.6480153
ANDHRA PRADESH,VIJAYAWADA RLY.,1,0,0,1,0,0,265,1,2001,0,2,0,0,3,2,2,25,0,1,"ANDHRA PRADESH,VIJAYAWADA RLY.",16.5061743,80.6480153
ANDHRA PRADESH,VISAKHA RURAL,12,31,99,3,0,0,165,138,2001,0,216,12,4,39,58,19,685,3,67,"ANDHRA PRADESH,VISAKHA RURAL",17.8034888,83.3530721
ANDHRA PRADESH,VISAKHAPATNAM,13,15,204,5,1,0,630,9,2001,172,196,13,1,192,22,37,928,0,33,"ANDHRA PRADESH,VISAKHAPATNAM",17.6868159,83.2184815
ANDHRA PRADESH,VIZIANAGARAM,8,12,121,2,1,0,144,36,2001,0,175,8,0,41,33,11,880,0,40,"ANDHRA PRADESH,VIZIANAGARAM",18.1066576,83.3955506
ANDHRA PRADESH,WARANGAL,53,0,165,23,5,0,418,330,2001,79,269,81,2,137,158,6,2314,52,241,"ANDHRA PRADESH,WARANGAL",17.9689008,79.5940544
ANDHRA PRADESH,WEST GODAVARI,61,32,348,15,1,0,1116,96,2001,74,354,41,7,270,77,63,1609,15,246,"ANDHRA PRADESH,WEST GODAVARI",16.9174181,81.3399414
ANDHRA PRADESH,TOTAL,871,872,5791,629,136,0,16751,3001,2001,3051,7400,1182,214,5391,2602,788,34344,420,3544,"ANDHRA PRADESH,TOTAL",15.9128998,79.7399875
ARUNACHAL PRADESH,CHANGLANG,1,1,0,4,0,0,24,0,2001,0,0,3,3,3,11,4,54,0,3,"ARUNACHAL PRADESH,CHANGLANG",27.1355348,95.7364417
ARUNACHAL PRADESH,DIBANG VALLEY,2,0,2,5,0,0,19,0,2001,1,0,4,2,0,3,3,45,0,4,"ARUNACHAL PRADESH,DIBANG VALLEY",28.7312796,95.8987139
ARUNACHAL PRADESH,KAMENG EAST,2,1,0,6,0,0,26,0,2001,0,0,7,1,1,3,1,28,0,5,"ARUNACHAL PRADESH,KAMENG EAST",27.24991297,92.81843406
ARUNACHAL PRADESH,KAMENG WEST,0,0,0,0,0,0,26,0,2001,0,0,2,1,4,4,1,30,0,0,"ARUNACHAL PRADESH,KAMENG WEST",27.24991297,92.81843406
ARUNACHAL PRADESH,LOHIT,2,2,0,8,1,0,31,3,2001,0,0,6,2,2,16,5,38,0,8,"ARUNACHAL PRADESH,LOHIT",28.0682343,96.1526985
ARUNACHAL PRADESH,PAPUM PARE,9,1,3,29,0,0,109,9,2001,29,0,15,4,8,11,12,129,0,6,"ARUNACHAL PRADESH,PAPUM PARE",27.2240654,93.5003454
ARUNACHAL PRADESH,SIANG EAST,5,1,2,8,0,0,52,1,2001,4,0,11,4,4,7,4,54,0,7,"ARUNACHAL PRADESH,SIANG EAST",28.5006832,94.645035
ARUNACHAL PRADESH,SIANG UPPER,2,2,0,0,0,0,9,1,2001,0,0,5,0,0,1,1,11,0,3,"ARUNACHAL PRADESH,SIANG UPPER",28.8612898,94.976654
ARUNACHAL PRADESH,SIANG WEST,4,3,2,10,0,0,72,2,2001,1,0,17,1,5,5,5,89,0,25,"ARUNACHAL PRADESH,SIANG WEST",28.5006832,94.645035
ARUNACHAL PRADESH,SUBANSIRI LOWER,2,2,0,7,1,0,25,5,2001,0,0,6,1,2,8,3,44,0,4,"ARUNACHAL PRADESH,SUBANSIRI LOWER",27.5910076,93.8248241
ARUNACHAL PRADESH,SUBANSIRI UPPER,2,0,2,5,0,0,20,2,2001,0,0,1,3,0,4,2,40,0,8,"ARUNACHAL PRADESH,SUBANSIRI UPPER",28.3348801,93.9878427
ARUNACHAL PRADESH,TAWANG,1,0,0,0,0,0,13,0,2001,1,0,0,0,1,2,0,19,0,5,"ARUNACHAL PRADESH,TAWANG",27.5860574,91.8594062
ARUNACHAL PRADESH,TIRAP,1,0,0,2,1,0,17,1,2001,0,0,6,0,0,8,0,37,0,0,"ARUNACHAL PRADESH,TIRAP",27.0185604,95.5197394
ARUNACHAL PRADESH,TOTAL,33,13,11,84,3,0,443,24,2001,36,0,83,22,30,83,41,618,0,78,"ARUNACHAL PRADESH,TOTAL",28.2179994,94.7277528
ASSAM,BARPETA,28,38,95,45,0,0,187,196,2001,2,87,105,43,29,64,26,430,10,29,"ASSAM,BARPETA",26.3304209,91.0040547
ASSAM,BONGAIGAON,20,12,26,25,0,0,92,87,2001,0,50,36,13,13,45,4,188,1,22,"ASSAM,BONGAIGAON",26.5030072,90.5535724
ASSAM,C.I.D.,0,0,0,0,0,0,1,0,2001,0,0,0,0,5,0,0,2,0,0,"ASSAM,C.I.D.",26.1697277,91.7579771
ASSAM,CACHAR,45,64,216,42,1,0,359,533,2001,0,235,104,29,33,52,29,1124,7,80,"ASSAM,CACHAR",24.7821253,92.8577105
ASSAM,DARRANG,48,16,37,29,0,0,185,100,2001,2,66,64,21,25,61,21,273,9,56,"ASSAM,DARRANG",26.4511588,92.1057549
ASSAM,DHEMAJI,42,16,0,12,0,0,79,13,2001,0,20,31,2,15,15,7,126,0,26,"ASSAM,DHEMAJI",27.4811106,94.5572847
ASSAM,DHUBRI,43,23,111,19,0,0,83,402,2001,2,47,69,53,24,65,11,204,5,49,"ASSAM,DHUBRI",26.0206982,89.9743463
ASSAM,DIBRUGARH,35,20,19,29,6,0,325,21,2001,18,108,57,14,12,110,13,264,3,41,"ASSAM,DIBRUGARH",27.4705449,94.9124625
ASSAM,G.R.P.,1,0,0,16,0,0,135,9,2001,0,0,3,8,0,13,1,110,0,0,"ASSAM,G.R.P.",26.2006043,92.9375739
ASSAM,GOALPARA,35,4,64,13,0,0,116,129,2001,1,99,43,37,16,28,8,100,1,54,"ASSAM,GOALPARA",26.1641342,90.6251541
ASSAM,GOLAGHAT,30,21,26,27,0,0,211,26,2001,27,73,44,13,20,53,3,363,0,23,"ASSAM,GOLAGHAT",26.5238515,93.962337
ASSAM,GUWAHATI CITY,37,18,98,73,12,0,736,151,2001,124,311,129,38,72,71,52,1308,5,67,"ASSAM,GUWAHATI CITY",26.1157917,91.7085933
ASSAM,HAILAKANDI,24,19,28,8,0,0,92,160,2001,1,26,36,6,14,18,6,197,2,27,"ASSAM,HAILAKANDI",24.680855,92.5648095
ASSAM,JORHAT,42,13,48,27,2,0,230,30,2001,27,58,37,6,23,40,21,363,2,44,"ASSAM,JORHAT",26.7509207,94.2036696
ASSAM,KAMRUP,21,6,27,41,8,0,275,55,2001,40,52,95,30,50,37,26,612,2,42,"ASSAM,KAMRUP",25.9410942,91.2891036
ASSAM,KARBI ANGLONG,5,24,8,33,3,0,79,90,2001,3,35,38,12,11,65,3,200,4,5,"ASSAM,KARBI ANGLONG",26.186085,93.5812692
ASSAM,KARIMGANJ,33,17,30,5,0,0,114,271,2001,9,20,42,8,8,32,9,97,1,9,"ASSAM,KARIMGANJ",24.8649128,92.3591531
ASSAM,KOKRAJHAR,14,6,20,10,1,0,89,50,2001,0,50,41,14,10,87,3,117,0,37,"ASSAM,KOKRAJHAR",26.4014362,90.266699
ASSAM,LAKHIMPUR,64,0,93,47,1,0,195,106,2001,0,89,72,15,71,26,25,422,0,22,"ASSAM,LAKHIMPUR",27.2063587,94.1513764
ASSAM,MORIGAON,23,5,28,10,0,0,66,79,2001,3,45,39,15,7,20,4,259,0,6,"ASSAM,MORIGAON",26.2528853,92.336955
ASSAM,N.C.HILLS,2,3,7,5,1,0,30,4,2001,3,16,8,4,3,17,8,30,0,2,"ASSAM,N.C.HILLS",26.2006043,92.9375739
ASSAM,NAGAON,51,41,132,33,3,0,491,267,2001,36,194,119,59,35,95,32,701,1,113,"ASSAM,NAGAON",26.348009,92.6838111
ASSAM,NALBARI,30,21,15,39,0,0,119,4,2001,3,27,53,15,18,79,14,433,3,16,"ASSAM,NALBARI",26.4446185,91.4410527
ASSAM,R.P.O.,3,0,0,2,0,0,29,13,2001,0,0,2,13,1,11,0,26,0,0,"ASSAM,R.P.O.",26.2006043,92.9375739
ASSAM,SIBSAGAR,47,21,0,41,0,0,343,50,2001,35,82,64,3,29,59,14,546,0,28,"ASSAM,SIBSAGAR",26.9826098,94.6424521
ASSAM,SONITPUR,53,32,99,21,1,0,356,85,2001,6,145,87,27,21,86,22,575,1,43,"ASSAM,SONITPUR",26.6769864,92.6983868
ASSAM,TINSUKIA,41,1,21,35,1,0,350,22,2001,8,75,62,34,10,107,12,245,2,9,"ASSAM,TINSUKIA",27.4885539,95.355758
ASSAM,TOTAL,817,441,1248,687,40,0,5367,2953,2001,350,2010,1480,532,575,1356,374,9315,59,850,"ASSAM,TOTAL",26.2006043,92.9375739
BIHAR,ARARIA,93,3,50,43,4,0,161,375,2001,19,26,79,39,47,47,26,944,11,3,"BIHAR,ARARIA",26.1324689,87.4528067
BIHAR,ARWAL,0,14,14,8,1,0,24,76,2001,0,21,13,5,7,37,9,51,7,11,"BIHAR,ARWAL",25.2427603,84.6655981
BIHAR,AURANGABAD,16,3,19,28,0,0,103,155,2001,8,82,24,19,28,74,13,867,33,13,"BIHAR,AURANGABAD",24.7486689,84.3807025
BIHAR,BAGAHA,25,6,2,9,12,0,115,67,2001,0,2,56,1,15,34,1,146,0,4,"BIHAR,BAGAHA",27.1221959,84.0722375
BIHAR,BANKA,34,4,16,39,4,0,73,196,2001,0,0,27,49,3,93,4,758,9,0,"BIHAR,BANKA",24.8874179,86.919838
BIHAR,BEGUSARAI,13,6,21,67,5,0,265,147,2001,16,71,53,18,26,124,26,1515,21,32,"BIHAR,BEGUSARAI",25.4181638,86.1271542
BIHAR,BETTIAH,20,21,54,32,20,0,265,340,2001,14,41,84,8,33,66,35,782,17,23,"BIHAR,BETTIAH",26.8025577,84.520147
BIHAR,BHABHUA,10,21,22,26,3,0,184,186,2001,1,52,43,34,23,41,8,486,8,7,"BIHAR,BHABHUA",25.0426227,83.6055732
BIHAR,BHAGALPUR,35,13,52,55,6,0,370,171,2001,25,53,66,22,47,128,22,1343,20,15,"BIHAR,BHAGALPUR",25.2371958,86.9745702
BIHAR,BHOJPUR,22,0,29,49,0,0,214,240,2001,18,102,46,32,31,135,0,1217,23,0,"BIHAR,BHOJPUR",25.466155,84.5222189
BIHAR,BUXAR,8,18,0,34,0,0,179,189,2001,5,82,34,49,57,56,0,800,15,0,"BIHAR,BUXAR",25.5647103,83.9777482
BIHAR,DARBHANGA,19,17,34,37,4,0,103,142,2001,8,66,39,29,31,53,39,1715,37,40,"BIHAR,DARBHANGA",26.1542045,85.8918454
BIHAR,GAYA,25,23,24,114,7,0,416,417,2001,50,127,66,100,79,200,57,862,26,27,"BIHAR,GAYA",24.7913957,85.0002336
BIHAR,GOPALGANJ,13,6,155,73,4,0,153,227,2001,25,96,59,32,75,107,45,807,22,0,"BIHAR,GOPALGANJ",26.4831584,84.43655
BIHAR,JAMALPUR RLY.,1,0,1,13,0,0,117,0,2001,4,4,4,9,3,7,0,62,0,1,"BIHAR,JAMALPUR RLY.",25.3180386,86.4934065
BIHAR,JAMUI,10,1,15,14,3,0,81,134,2001,1,14,14,22,7,67,10,289,16,8,"BIHAR,JAMUI",24.9255887,86.2258592
BIHAR,JEHANABAD,6,0,4,22,2,0,121,170,2001,10,0,35,15,51,73,0,694,25,0,"BIHAR,JEHANABAD",25.2132649,84.9853322
BIHAR,KATIHAR,51,1,29,30,2,0,146,193,2001,13,71,49,49,23,60,26,904,6,6,"BIHAR,KATIHAR",25.5540648,87.5591073
BIHAR,KATIHAR RLY.,0,0,0,19,0,0,221,9,2001,10,0,3,18,9,7,0,116,0,2,"BIHAR,KATIHAR RLY.",25.5540648,87.5591073
BIHAR,KHAGARIA,5,1,2,29,2,0,86,167,2001,7,59,34,6,6,72,4,353,11,6,"BIHAR,KHAGARIA",25.50452,86.4701416
BIHAR,KISHANGANJ,22,8,39,10,1,0,57,116,2001,10,16,23,19,5,25,15,481,4,2,"BIHAR,KISHANGANJ",26.0982167,87.9450379
BIHAR,LAKHISARAI,10,4,5,13,5,0,79,93,2001,3,33,30,9,6,61,5,305,6,12,"BIHAR,LAKHISARAI",25.1571454,86.0951592
BIHAR,MADHEPURA,11,8,10,31,7,0,69,157,2001,16,18,49,17,17,56,11,550,6,3,"BIHAR,MADHEPURA",25.9239677,86.7946387
BIHAR,MADHUBANI,13,4,18,17,5,0,98,195,2001,0,110,36,24,9,35,11,1503,12,41,"BIHAR,MADHUBANI",26.3482938,86.0711661
BIHAR,MOTIHARI,44,23,47,79,11,0,271,365,2001,3,36,100,30,103,114,46,2243,37,3,"BIHAR,MOTIHARI",26.6438482,84.9040337
BIHAR,MUNGER,11,12,39,29,0,0,157,218,2001,17,28,45,6,29,51,0,787,8,0,"BIHAR,MUNGER",25.3707993,86.4733903
BIHAR,MUZAFFARPUR,73,42,141,135,21,0,538,241,2001,104,141,113,32,94,153,67,1867,69,81,"BIHAR,MUZAFFARPUR",26.1196607,85.390982
BIHAR,MUZAFFARPUR RLY.,2,1,1,15,0,0,313,13,2001,24,0,5,4,20,13,2,81,0,4,"BIHAR,MUZAFFARPUR RLY.",26.1196607,85.390982
BIHAR,NALANDA,40,13,54,97,18,0,412,318,2001,14,60,126,51,34,208,19,1006,47,14,"BIHAR,NALANDA",25.2621826,85.4788065
BIHAR,NAUGACHIA,7,1,5,18,0,0,32,56,2001,0,31,29,15,11,36,5,193,4,0,"BIHAR,NAUGACHIA",25.387344,87.0979867
BIHAR,NAWADAH,15,12,13,31,5,0,66,183,2001,2,61,42,16,30,77,9,555,17,7,"BIHAR,NAWADAH",24.8866859,85.5434572
BIHAR,PATNA,27,54,152,414,30,0,1568,506,2001,399,178,197,91,331,434,196,2825,90,47,"BIHAR,PATNA",25.5940947,85.1375645
BIHAR,PATNA RLY.,1,0,0,21,0,0,811,11,2001,19,3,3,18,11,24,1,174,0,9,"BIHAR,PATNA RLY.",25.5940947,85.1375645
BIHAR,PURNEA,39,7,22,97,10,0,227,269,2001,27,77,64,75,28,104,5,785,8,5,"BIHAR,PURNEA",25.7771391,87.4752551
BIHAR,ROHTAS,25,27,59,68,4,0,317,391,2001,51,376,72,78,52,127,37,535,36,21,"BIHAR,ROHTAS",25.0685878,84.0167423
BIHAR,SAHARSA,12,6,12,15,3,0,56,156,2001,6,29,27,3,25,36,22,244,7,9,"BIHAR,SAHARSA",25.8773651,86.5927887
BIHAR,SAMASTIPUR,19,45,35,61,20,0,247,312,2001,26,21,75,33,33,107,39,1261,11,17,"BIHAR,SAMASTIPUR",25.8560271,85.7868233
BIHAR,SARAN,20,43,101,93,0,0,246,309,2001,32,106,65,69,14,137,12,1087,67,22,"BIHAR,SARAN",25.7765249,84.7380858
BIHAR,SHEIKHPURA,3,3,32,12,1,0,89,136,2001,0,15,16,16,10,28,4,408,9,0,"BIHAR,SHEIKHPURA",25.1391653,85.8392151
BIHAR,SHEOHAR,11,0,2,8,1,0,16,38,2001,0,0,13,7,1,18,0,305,3,0,"BIHAR,SHEOHAR",26.5145872,85.2942313
BIHAR,SITAMARHI,23,7,21,15,3,0,132,218,2001,2,5,34,24,41,51,10,1111,13,1,"BIHAR,SITAMARHI",26.5886976,85.5012971
BIHAR,SIWAN,4,16,10,100,9,0,112,239,2001,29,44,51,45,26,116,13,753,32,6,"BIHAR,SIWAN",26.2243204,84.3599953
BIHAR,SUPAUL,30,0,18,40,4,0,129,170,2001,9,0,26,31,8,41,9,1040,7,8,"BIHAR,SUPAUL",26.1233718,86.6045134
BIHAR,VAISHALI,20,8,179,43,13,0,262,295,2001,23,49,90,22,120,110,83,1857,59,52,"BIHAR,VAISHALI",25.6838206,85.354965
BIHAR,TOTAL,888,502,1558,2203,250,0,9701,8606,2001,1050,2406,2159,1291,1659,3643,946,36667,859,562,"BIHAR,TOTAL",25.9644427,85.2722472
CHHATTISGARH,BALRAMPUR,17,2,7,11,0,0,21,15,2001,0,7,1,17,6,13,0,40,1,18,"CHHATTISGARH,BALRAMPUR",23.7579514,83.6866967
CHHATTISGARH,BILASPUR,69,17,94,37,11,0,690,166,2001,72,93,20,4,23,99,5,1617,7,180,"CHHATTISGARH,BILASPUR",22.0796545,82.1409152
CHHATTISGARH,BIZAPUR,4,6,0,6,0,0,3,1,2001,3,2,0,2,0,9,0,19,0,1,"CHHATTISGARH,BIZAPUR",18.8608309,80.7214417
CHHATTISGARH,DANTEWARA,19,5,3,5,0,0,64,14,2001,5,31,11,7,5,83,1,259,1,18,"CHHATTISGARH,DANTEWARA",18.8998486,81.34743
CHHATTISGARH,DHAMTARI,22,1,6,0,0,0,110,22,2001,11,45,4,2,12,14,3,450,1,41,"CHHATTISGARH,DHAMTARI",20.7101344,81.5489077
CHHATTISGARH,DURG,144,35,231,50,0,0,893,48,2001,208,0,57,9,91,76,15,3302,12,287,"CHHATTISGARH,DURG",21.1904494,81.2849169
