REGISTERED DISTRICT,Registered PS
LONI ,GHAZIABAD 
LONI ,GHAZIABAD 
LONI ,GHAZIABAD 
LONI ,GHAZIABAD 
MODI NAGAR ,GHAZIABAD 
MODI NAGAR ,GHAZIABAD 
MODI NAGAR ,GHAZIABAD 
BHOJPUR ,GHAZIABAD 
SAHIBABAD ,GHAZIABAD 
SAHIBABAD ,GHAZIABAD 
SAHIBABAD ,GHAZIABAD 
SAHIBABAD ,GHAZIABAD 
SAHIBABAD ,GHAZIABAD 
SAHIBABAD ,GHAZIABAD 
SAHIBABAD ,GHAZIABAD 
SAHIBABAD ,GHAZIABAD 
SAHIBABAD ,GHAZIABAD 
SAHIBABAD ,GHAZIABAD 
SAHIBABAD ,GHAZIABAD 
SAHIBABAD ,GHAZIABAD 
SAHIBABAD ,GHAZIABAD 
SAHIBABAD ,GHAZIABAD 
SAHIBABAD ,GHAZIABAD 
SAHIBABAD ,GHAZIABAD 
SAHIBABAD ,GHAZIABAD 
SAHIBABAD ,GHAZIABAD 
SAHIBABAD ,GHAZIABAD 
SAHIBABAD ,GHAZIABAD 
SAHIBABAD ,GHAZIABAD 
SAHIBABAD ,GHAZIABAD 
SAHIBABAD ,GHAZIABAD 
SIHANI GATE ,GHAZIABAD 
SIHANI GATE ,GHAZIABAD 
SIHANI GATE ,GHAZIABAD 
SIHANI GATE ,GHAZIABAD 
SIHANI GATE ,GHAZIABAD 
SIHANI GATE ,GHAZIABAD 
SIHANI GATE ,GHAZIABAD 
SIHANI GATE ,GHAZIABAD 
VIJAY NAGAR ,GHAZIABAD 
VIJAY NAGAR ,GHAZIABAD 
INDRAPURAM ,GAUTAM BUDH NAGAR 
GRP GHAZIABAD ,LUCKNOW 
DILDAR NAGAR ,AGRA 
DILDAR NAGAR ,AGRA 
BIRNO ,GHAZIPUR 
BAHARIYA BAD ,GHAZIPUR 
GRP GHAZIPUR ,GHAZIABAD 
DULLAHPUR ,BALLIA 
MOHAMMADABAD ,GHAZIPUR 
SADAT ,GHAZIPUR 
SADAT ,GHAZIPUR 
SAIDPUR ,GHAZIPUR 
KHANPUR ,VARANASI 
KHANPUR ,VARANASI 
DULLAHPUR ,MAU 
DULLAHPUR ,MAU 
DULLAHPUR ,VARANASI 
GRP GONDA ,JHANSI 
KOTWALI DEHAT ,GONDA 
GRP GONDA ,SITAPUR 
GRP GONDA ,GORAKHPUR 
GRP GONDA ,MORADABAD 
MANKAPUR ,VARANASI 
GRP GONDA ,MAHRAJGANJ 
GRP GONDA ,LUCKNOW 
GRP GORAKHPUR ,BASTI 
GRP GORAKHPUR ,BASTI 
GRP GORAKHPUR ,BASTI 
GRP GORAKHPUR ,BASTI 
GRP GORAKHPUR ,GONDA 
GRP GORAKHPUR ,GONDA 
GRP GORAKHPUR ,GONDA 
GRP GORAKHPUR ,GONDA 
GRP GORAKHPUR ,GONDA 
GRP GORAKHPUR ,GONDA 
GRP GORAKHPUR ,GONDA 
GRP GORAKHPUR ,GONDA 
GRP GORAKHPUR ,GONDA 
GRP GORAKHPUR ,GONDA 
GRP GORAKHPUR ,GONDA 
GRP GORAKHPUR ,BASTI 
GRP GORAKHPUR ,GONDA 
GRP GORAKHPUR ,GONDA 
GRP GORAKHPUR ,GONDA 
GRP GORAKHPUR ,DEORIA 
GRP GORAKHPUR ,DEORIA 
GRP GORAKHPUR ,DEORIA 
GRP GORAKHPUR ,DEORIA 
GRP GORAKHPUR ,DEORIA 
GRP GORAKHPUR ,DEORIA 
GRP GORAKHPUR ,DEORIA 
GRP GORAKHPUR ,DEORIA 
GRP GORAKHPUR ,DEORIA 
GRP GORAKHPUR ,JHANSI 
GRP GORAKHPUR ,KANPUR CITY 
GRP GORAKHPUR ,KANPUR CITY 
GRP GORAKHPUR ,KANPUR CITY 
GRP GORAKHPUR ,KANPUR CITY 
GRP GORAKHPUR ,KANPUR CITY 
GRP GORAKHPUR ,KANPUR CITY 
GRP GORAKHPUR ,KANPUR CITY 
GRP GORAKHPUR ,KANPUR CITY 
GRP GORAKHPUR ,GHAZIABAD 
GRP GORAKHPUR ,GHAZIABAD 
GRP GORAKHPUR ,BALLIA 
GRP GORAKHPUR ,BARABANKI 
GRP GORAKHPUR ,ALLAHABAD 
GRP GORAKHPUR ,FATEHGARH 
GRP GORAKHPUR ,GONDA 
GRP GORAKHPUR ,SHAHJAHANPUR 
GRP GORAKHPUR ,GORAKHPUR 
GRP GORAKHPUR ,SAHARANPUR 
BELIPAR ,GORAKHPUR 
CHILUWATAL ,GORAKHPUR 
CHILUWATAL ,GORAKHPUR 
CHILUWATAL ,GORAKHPUR 
GULRIHA ,GORAKHPUR 
KHORABAR ,GORAKHPUR 
KHORABAR ,GORAKHPUR 
KOTWALI ,GORAKHPUR 
SIKARIGANJ ,GORAKHPUR 
GRP GORAKHPUR ,BAREILLY 
GRP GORAKHPUR ,VARANASI 
GRP GORAKHPUR ,VARANASI 
GRP GORAKHPUR ,MAU 
GRP GORAKHPUR ,VARANASI 
CANTT ,MAU 
GRP GORAKHPUR ,MAU 
GRP GORAKHPUR ,MAU 
GRP GORAKHPUR ,MAU 
GRP GORAKHPUR ,MAHRAJGANJ 
GRP GORAKHPUR ,LUCKNOW 
GRP GORAKHPUR ,LUCKNOW 
GRP GORAKHPUR ,LUCKNOW 
GRP GORAKHPUR ,LUCKNOW 
GRP GORAKHPUR ,LUCKNOW 
GRP GORAKHPUR ,LUCKNOW 
GRP GORAKHPUR ,LUCKNOW 
GRP GORAKHPUR ,LUCKNOW 
GRP GORAKHPUR ,LUCKNOW 
GRP GORAKHPUR ,LUCKNOW 
GRP GORAKHPUR ,LUCKNOW 
GRP GORAKHPUR ,LUCKNOW 
GRP GORAKHPUR ,LUCKNOW 
GRP GORAKHPUR ,KUSHI NAGAR 
KOTWALI NAGAR ,HAMIRPUR 
MUSKARA ,HAMIRPUR 
KURARA ,KANPUR DEHAT 
MUSKARA ,MAHOBA 
RATH ,MAHOBA 
HAPURNAGAR ,MEERUT 
HAPURNAGAR ,MEERUT 
PILKHUWA ,GHAZIABAD 
HAPURNAGAR ,HAPUR 
HAPURNAGAR ,HAPUR 
HAPURNAGAR ,HAPUR 
BABUGARH ,HAPUR 
HAPURNAGAR ,LUCKNOW 
HAPURNAGAR ,LUCKNOW 
KOTWALI CITY ,HARDOI 
KOTWALI CITY ,HARDOI 
MANJHILA ,HARDOI 
SURSA ,HARDOI 
SURSA ,HARDOI 
SURSA ,UNNAO 
MURSAN ,HATHRAS 
SIKANDRA RAO ,HATHRAS 
HATHRAS KOTWALI ,HATHRAS 
KOTWALI KALPI ,JALAUN 
KOTWALI KALPI ,JALAUN 
KOTWALI KALPI ,JALAUN 
KOTWALI KALPI ,JALAUN 
KOTWALI KALPI ,JALAUN 
KOTWALI ORAI ,JALAUN 
KOTWALI ORAI ,JALAUN 
KUTHAUND ,JALAUN 
SIRSA KALAR ,JALAUN 
KOTWALI ORAI ,JHANSI 
KUTHAUND ,KANPUR CITY 
KADAURA ,KANPUR DEHAT 
GRP JAUNPUR ,AZAMGARH 
BADLAPUR ,JAUNPUR 
LINE BAZAR ,JAUNPUR 
SUJANGANJ ,JAUNPUR 
SUJANGANJ ,JAUNPUR 
ZAFRABAD ,JAUNPUR 
SIGRAMAU ,PRATAPGARH 
GRP JAUNPUR ,GHAZIPUR 
GRP JAUNPUR ,FAIZABAD 
GRP JAUNPUR ,FAIZABAD 
GRP JAUNPUR ,FAIZABAD 
GRP JAUNPUR ,FAIZABAD 
GRP JAUNPUR ,ALLAHABAD 
GRP JAUNPUR ,VARANASI 
KERAKAT ,VARANASI 
RAMPUR ,VARANASI 
GAURA BADSHAHPUR ,VARANASI 
GRP JAUNPUR ,VARANASI 
GRP JAUNPUR ,GHAZIABAD 
BADLAPUR ,SULTANPUR 
GRP JAUNPUR ,SULTANPUR 
GRP JAUNPUR ,SULTANPUR 
GRP JAUNPUR ,SULTANPUR 
GRP JAUNPUR ,AMBEDKAR NAGAR 
GRP JAUNPUR ,AMBEDKAR NAGAR 
GRP JAUNPUR ,AMBEDKAR NAGAR 
GRP JAUNPUR ,AMBEDKAR NAGAR 
GRP JAUNPUR ,AMBEDKAR NAGAR 
GRP JAUNPUR ,LUCKNOW 
BADLAPUR ,LUCKNOW 
GRP JAUNPUR ,CHANDAULI 
GRP JHANSI ,AGRA 
GRP JHANSI ,AGRA 
GRP JHANSI ,AGRA 
GRP JHANSI ,AGRA 
GRP JHANSI ,AGRA 
GRP JHANSI ,AGRA 
GRP JHANSI ,JALAUN 
GRP JHANSI ,AGRA 
GRP JHANSI ,AGRA 
MAURANIPUR ,JHANSI 
MOTH ,JHANSI 
PREM NAGAR ,JHANSI 
PREM NAGAR ,JHANSI 
TODI FATEHPUR ,JHANSI 
TODI FATEHPUR ,JHANSI 
BABINA ,JHANSI 
GRP JHANSI ,KANPUR CITY 
GRP JHANSI ,LALITPUR 
GRP JHANSI ,LALITPUR 
GRP JHANSI ,LALITPUR 
GRP JHANSI ,LALITPUR 
GRP JHANSI ,LALITPUR 
GRP JHANSI ,LALITPUR 
GRP JHANSI ,LALITPUR 
GRP JHANSI ,LALITPUR 
GRP JHANSI ,MATHURA 
THATHIA ,KANNAUJ 
MAHILA THANA ,HARDOI 
KOTWALI ,HARDOI 
KIDWAI NAGAR ,MAINPURI 
CHAKERI ,FATEHPUR 
MAHARAJPUR ,FATEHPUR 
CHAKERI ,UNNAO 
CHAKERI ,UNNAO 
RAIPURWA ,UNNAO 
RAIPURWA ,UNNAO 
SAJETI ,UNNAO 
KOTWALI ,KANPUR CITY 
KOTWALI ,KANPUR CITY 
KOTWALI ,KANPUR CITY 
KOTWALI ,KANPUR CITY 
KOTWALI ,KANPUR CITY 
KOTWALI ,KANPUR CITY 
KOTWALI ,KANPUR CITY 
KOTWALI ,KANPUR CITY 
KOTWALI ,KANPUR CITY 
KOTWALI ,KANPUR CITY 
KAKADEV ,KANPUR CITY 
KIDWAI NAGAR ,KANPUR CITY 
KIDWAI NAGAR ,KANPUR CITY 
KIDWAI NAGAR ,KANPUR CITY 
KOHNA ,KANPUR CITY 
MAHILA THANA ,KANPUR CITY 
NAUBASTA ,KANPUR CITY 
NAUBASTA ,KANPUR CITY 
CHAMAN GANJ ,BALLIA 
NAUBASTA ,BANDA 
NAUBASTA ,KANPUR CITY 
NAUBASTA ,KANPUR CITY 
NAUBASTA ,KANPUR CITY 
NAZIRABAD ,KANPUR CITY 
NAZIRABAD ,KANPUR CITY 
NAZIRABAD ,KANPUR CITY 
NAZIRABAD ,KANPUR CITY 
NAWABGANJ ,KANPUR CITY 
PANKI ,KANPUR CITY 
PANKI ,KANPUR CITY 
RAIPURWA ,KANPUR CITY 
SHIVRAJPUR ,KANPUR CITY 
SISAMAU ,KANPUR CITY 
GWALTOLI ,KANPUR CITY 
GWALTOLI ,KANPUR CITY 
GWALTOLI ,KANPUR CITY 
GWALTOLI ,KANPUR CITY 
ARMAPUR ,KANPUR CITY 
BADSHAHI NAKA ,KANPUR CITY 
BABUPURWA ,KANPUR CITY 
BARRA ,KANPUR CITY 
BIDHNOO ,KANPUR CITY 
BEKAN GANJ ,KANPUR CITY 
BEKAN GANJ ,KANPUR CITY 
CANTT ,KANPUR CITY 
COLLECTORGANJ ,KANPUR CITY 
COLLECTORGANJ ,KANPUR CITY 
COLLECTORGANJ ,KANPUR CITY 
COLONOL GANJ ,KANPUR CITY 
CHAKERI ,KANPUR CITY 
CHAKERI ,KANPUR CITY 
FEELKHANA ,KANPUR CITY 
FEELKHANA ,KANPUR CITY 
GHATAMPUR ,KANPUR CITY 
GHATAMPUR ,KANPUR CITY 
GOVIND NAGAR ,KANPUR CITY 
GOVIND NAGAR ,KANPUR CITY 
GOVIND NAGAR ,KANPUR CITY 
GOVIND NAGAR ,KANPUR CITY 
GOVIND NAGAR ,KANPUR CITY 
JUHI ,KANPUR CITY 
SISAMAU ,FATEHGARH 
KOTWALI ,KANPUR CITY 
KOTWALI ,KANPUR CITY 
KOTWALI ,KANPUR CITY 
KOTWALI ,KANPUR CITY 
KOTWALI ,KANPUR CITY 
KOTWALI ,KANPUR CITY 
KOTWALI ,KANPUR CITY 
CHAKERI ,GONDA 
KOTWALI ,KANPUR CITY 
BILHAUR ,ETAWAH 
CHAKERI ,ETAWAH 
KOHNA ,ETAWAH 
CHAUBEPUR ,KANPUR DEHAT 
GOVIND NAGAR ,KANPUR DEHAT 
KOTWALI ,MAU 
SISAMAU ,GHAZIABAD 
KOTWALI ,KAUSHAMBI 
GWALTOLI ,GAUTAM BUDH NAGAR 
MOOL GANJ ,AURAIYA 
GOVIND NAGAR ,LUCKNOW 
BARRA ,LUCKNOW 
CANTT ,LUCKNOW 
KIDWAI NAGAR ,LUCKNOW 
NAUBASTA ,LUCKNOW 
SWAROP NAGAR ,LUCKNOW 
HARBANS MOHAL ,MAHOBA 
AKBARPUR ,JHANSI 
AKBARPUR ,JHANSI 
AMRAHAT (GOHANI) ,KANPUR CITY 
AKBARPUR ,KANPUR CITY 
AKBARPUR ,KANPUR CITY 
GAJNER ,KANPUR CITY 
GAJNER ,KANPUR CITY 
RASULABAD ,KANPUR CITY 
SHIVLI ,KANPUR CITY 
AKBARPUR ,MAINPURI 
AKBARPUR ,ETAWAH 
MOOSA NAGAR ,ETAWAH 
MAHILA THANA ,KANPUR DEHAT 
AKBARPUR ,AURAIYA 
AKBARPUR ,LUCKNOW 
PATIALI ,ETAH 
SORON ,ALIGARH 
PATIALI ,ETAWAH 
KASGANJ ,KASGANJ 
KASGANJ ,KASGANJ 
PATIALI ,KASGANJ 
SAHAWAR ,KASGANJ 
SORON ,KASGANJ 
PATIALI ,GAUTAM BUDH NAGAR 
PURAMUFTI ,ALLAHABAD 
KARARI ,KAUSHAMBI 
GRP LALITPUR ,JHANSI 
TALBEHAT ,JHANSI 
GRP LALITPUR ,LALITPUR 
GRP LALITPUR ,LALITPUR 
GRP LALITPUR ,LALITPUR 
PALI ,LALITPUR 
POORAKALAN ,LALITPUR 
TALBEHAT ,KANPUR DEHAT 
MOHANLALGANJ ,RAE BARELI 
QAISER BAGH ,KANPUR CITY 
MOHANLALGANJ ,UNNAO 
GAZIPUR ,KANPUR CITY 
GOSAINGANJ ,BARABANKI 
VIBHUTI KHAND ,BARABANKI 
VIBHUTI KHAND ,FATEHGARH 
GOMTINAGAR ,GORAKHPUR 
GAZIPUR ,SITAPUR 
ALIGANJ ,SIDDHARTH NAGAR 
GAZIPUR ,VARANASI 
VIBHUTI KHAND ,KANPUR DEHAT 
GOMTINAGAR ,MAU 
P.G.I. ,BALRAMPUR 
GAZIPUR ,SULTANPUR 
GOMTINAGAR ,LUCKNOW 
GOMTINAGAR ,LUCKNOW 
GOMTINAGAR ,LUCKNOW 
GOMTINAGAR ,LUCKNOW 
GOMTINAGAR ,LUCKNOW 
GOMTINAGAR ,LUCKNOW 
GOMTINAGAR ,LUCKNOW 
GOMTINAGAR ,LUCKNOW 
GOMTINAGAR ,LUCKNOW 
GOMTINAGAR ,LUCKNOW 
GOMTINAGAR ,LUCKNOW 
GOMTINAGAR ,LUCKNOW 
GOMTINAGAR ,LUCKNOW 
